fold,clf,accuracy,precision,recall,specificity,F1,roc_auc
0,LR,0.9154458324864366,0.5269607843137255,0.11782974059188893,0.9901000256476019,0.19259480441922963,0.8420039673038835
0,RF,0.9041573508028581,0.3460093896713615,0.13463646328096457,0.9761819269898264,0.1938453445554971,0.7881678766268821
1,LR,0.9153520223893432,0.53099173553719,0.09389842893679211,0.9922373258100368,0.15957777087860914,0.8414435839123723
1,RF,0.9045169561750497,0.3443187407771766,0.1278772378516624,0.9772078310677952,0.18649260690022645,0.7856985679292404
2,LR,0.9163682984411888,0.5617647058823529,0.10465753424657534,0.9923568839340674,0.17644341801385682,0.8423606628234425
2,RF,0.905642677340171,0.35971943887775554,0.13114155251141552,0.97814786950277,0.19220987819569,0.78684621856534
3,LR,0.9158367078909927,0.5423572744014733,0.10757990867579909,0.9915019492510773,0.1795458009449779,0.8407485667547054
3,RF,0.906283713003643,0.3690055527511358,0.13351598173515983,0.9786266329252445,0.19608369098712447,0.7841344703730388
4,LR,0.9158836129395393,0.5440222428174235,0.10721461187214612,0.9915874427193763,0.17912725053402503,0.834428613188199
4,RF,0.9069091136509326,0.3794665324609965,0.13771689497716896,0.9789173107174611,0.20209059233449478,0.7829153959760763
